Generator,Average,KS Test,Z Test,Chi Squared Test,Product of successive values,Correlation Coefficient
Uniform8Bit,127.87838,0.005477450980392207,-2.2445193034272024,1.9000457142857143,0.25140903158358613,-0.0009457944637969393
LCG,127.60247,0.00392058823529412,17.423243063387936,1.206697142857143,0.25048027566012004,0.0009594787552102631
KISS,127.47453,0.0024792156862745163,22.901024224220286,0.7103085714285715,0.24783434162677,-0.024826884746312405
Hadamard1Bit,127.75542,0.004991176470588221,-1.7466401678381533,0.6586514285714286,0.2507979019044306,-0.0024373577056029314
Hadamard8Bit,127.37833,0.005271176470588224,-1.734752758510639,1.5071085714285715,0.24960837597610833,0.0010623125681731703
RY1Bit,127.02688,0.0067560784313725475,2.788243202854297,1.3303314285714287,0.24819093727269467,0.0005113010365486537
RY8Bit,127.1321,0.00593588235294118,3.472788078557835,1.3271085714285715,0.2479316873137957,-0.007453910611609308
Uniform1Bit,127.81584,0.006257058823529449,-1.5297008780930312,0.7309257142857143,0.2513490312911525,0.0013137371537888807
Uniform8Bit,127.43022,0.004032352941176473,-0.5917898917396754,0.8254171428571428,0.24967553358732242,-0.0006209882704898892
LCG,127.19708,0.005703333333333338,14.713944168236207,1.3902171428571428,0.2489229691989363,0.0013396373738140967
KISS,127.47313,0.0023494117647058776,21.528756811229915,0.6905828571428572,0.24783999796937609,-0.0246773912804856
Hadamard1Bit,127.92446,0.00509764705882354,-1.4842386549101008,0.6546742857142858,0.2516864075215131,0.0002416571262654471
Hadamard8Bit,127.61081,0.00527215686274507,-1.178293957186353,1.115017142857143,0.25068831141982884,0.003000590702010421
RY1Bit,127.78675,0.005536666666666634,-1.1743791462106639,0.5986057142857143,0.25124699613009305,0.0014459451485367297
RY8Bit,127.02865,0.006476666666666686,-2.5801360393497808,1.7339200000000001,0.24810542438372976,-0.0006250215878437792
Uniform1Bit,127.94662,0.006010980392156862,-3.182785958777294,1.8079314285714287,0.2520564152200536,0.0036040172771890904
Uniform8Bit,127.36459,0.0052492156862745665,1.8041920017333746,0.9620114285714286,0.24894637504621467,-0.006178049748928594
LCG,127.7559,0.005168627450980401,13.917267565665474,2.7839542857142856,0.2505422267602108,-0.0055650362516647634
KISS,127.51733,0.0023772549019608347,22.99717438453035,0.47184000000000004,0.24795015470339396,-0.025410121122622538
Hadamard1Bit,127.76035,0.0052119607843137405,2.1624928680878335,1.1068342857142857,0.25144642895870906,0.005047852200436718
Hadamard8Bit,127.68293,0.004685882352941179,-2.263754409628075,0.8480228571428572,0.25048841999377186,-0.002732407924224547
RY1Bit,127.11203,0.005674705882352971,-1.7296994777758465,1.27984,0.2486507327203191,0.002044180784588729
RY8Bit,127.46775,0.0046249019607843,-0.798730023801106,0.5080914285714286,0.2500800502045798,0.0024665542584138317
Uniform1Bit,127.64469,0.004208039215686243,-0.8192748541994604,0.6975085714285715,0.2506823161272701,0.0013884880828179285
Uniform8Bit,127.71789,0.005005098039215672,2.336430657366091,0.9816914285714287,0.25042378512981545,-0.005118232354877276
LCG,127.34687,0.00454078431372551,15.46789982730081,1.6992228571428571,0.24951960630717238,0.001384100566125668
KISS,127.55892,0.002509411764705871,22.57949057152482,0.7676114285714286,0.24818801652068892,-0.024537959531639068
Hadamard1Bit,127.41675,0.004917843137254907,-3.5938700776213253,0.39853714285714287,0.24937870862752973,-0.0035238027536419214
Hadamard8Bit,127.6402,0.004876470588235371,-4.4818358598983,0.9134628571428571,0.25105161593714875,0.0060056647677098896
RY1Bit,127.65734,0.004699607843137166,-6.057732336296235,0.8279314285714287,0.25098787381568377,0.0044392202303313805
RY8Bit,127.18907,0.00581392156862745,0.8698487475560784,1.22112,0.24876023139316256,-0.0002344193373106007
Uniform1Bit,127.74221,0.004950392156862771,-1.5911797518007431,0.8527542857142858,0.2510640600446771,0.001355750845456424
Uniform8Bit,127.50977,0.004216862745098027,-5.259844940196018,0.7970971428571428,0.25032792242570656,0.0034785558735321823
LCG,127.56222,0.0038358823529411334,17.685913588100945,1.968297142857143,0.250103007296893,-0.0017325832784336748
KISS,127.51129,0.0021990196078431334,22.774424546858768,0.7129142857142857,0.24796125592936108,-0.025010988786706444
Hadamard1Bit,127.91909,0.005703725490196043,-4.6357346641593855,1.3853714285714287,0.2516296438627573,-0.00021089899823112116
Hadamard8Bit,127.50923,0.004676470588235296,2.4044573913411034,0.3979657142857143,0.2504504940474246,0.004938098681838212
RY1Bit,127.52601,0.004570196078431371,0.6421234416830318,0.30939428571428573,0.25035061438657136,0.0029338307846783914
RY8Bit,127.38892,0.005032745098039304,-0.7880806222052041,0.36022857142857145,0.24948426939094498,-0.0009546323557619918
Uniform1Bit,127.39231,0.00421372549019608,2.008697004671658,0.35243428571428576,0.24944846664921583,-0.0015248470369275124
Uniform8Bit,127.54468,0.004713333333333347,-1.8077823007853255,0.3399314285714286,0.2500211756442807,-0.001830119966441721
LCG,127.39295,0.004307843137254852,15.164235224340073,1.0760228571428572,0.24970893999597352,0.0015093163868475342
KISS,127.50238,0.0022788235294117776,22.19788989656126,0.7425371428571429,0.2479341688457265,-0.02490992387639749
Hadamard1Bit,127.49574,0.004744901960784309,1.5002820223713225,0.6369371428571429,0.2504161272293209,0.0051072496324980725
Hadamard8Bit,127.41861,0.0044607843137254855,3.046126287712788,0.8336457142857143,0.24961848234399014,-0.0007467994903201664
RY1Bit,127.51142,0.004853725490196081,-1.892960044602951,1.1704685714285714,0.25019188446401713,0.0017504367282848853
RY8Bit,127.58498,0.004482941176470523,-3.0832821036446005,0.6729371428571429,0.2504951620834851,0.0019339166375910359
Uniform1Bit,127.76611,0.005080980392156764,1.675353105756042,1.2844114285714285,0.2512660502229723,0.0026657029035776917
Uniform8Bit,127.75109,0.005553333333333299,1.3276764180651537,1.6572342857142859,0.25105705605306866,0.0008158723525875771
LCG,127.35094,0.003978627450980321,15.809075211225728,0.6737828571428571,0.24969773650062427,0.003360665919258549
KISS,127.45494,0.002528039215686284,21.684469033259226,0.65536,0.2477477918954509,-0.024883859287364262
Hadamard1Bit,127.56512,0.004105882352941181,-1.9279998396592786,0.20217142857142859,0.24992901078568533,-0.003916208859498179
Hadamard8Bit,127.62222,0.004512156862745087,-0.44892219142230644,0.7920914285714286,0.2505263820804311,0.0005174669854602821
RY1Bit,127.39883,0.00430529411764706,-0.14340504580336103,0.55808,0.2493640491960433,-0.002893220591204558
RY8Bit,127.81936,0.005905686274509714,-2.0107390642248077,1.6206857142857143,0.25146453786721423,0.002505232546464586
Uniform1Bit,127.80743,0.005867843137254913,4.523156240169581,2.157622857142857,0.25174361962765857,0.006391246779191667
Uniform8Bit,127.50192,0.004479607843137279,-0.9170454315728674,0.7031314285714286,0.24975164476750503,-0.003010949073613426
LCG,127.78551,0.005077450980392251,14.871420788161831,0.7331428571428572,0.25184249135839754,0.008619063872206269
KISS,127.55002,0.0023696078431372225,21.97246421808533,0.5188571428571429,0.2480796235874713,-0.02537041390337689
Hadamard1Bit,127.43089,0.004819019607843145,-0.300591521270815,0.6504,0.2495630060491302,-0.0019392711402219502
Hadamard8Bit,127.29832,0.005595490196078412,-0.5746088370572342,1.9182171428571428,0.24855960562681112,-0.007761108278255676
RY1Bit,127.49275,0.004863333333333331,-3.1130179739109822,0.7148800000000001,0.25018597590819713,0.002582730214541255
RY8Bit,127.50325,0.004254901960784263,0.06120740242441989,0.24443428571428572,0.2501569949186583,0.0017393921464420854
Uniform1Bit,127.95431,0.007682745098039234,-2.24492098276606,1.7690057142857143,0.2522033286461256,0.0049970118275713925
Uniform8Bit,127.50141,0.004365882352941219,2.3417001105827984,0.7239085714285715,0.25034889456929965,0.0041250184702909184
LCG,127.70477,0.004816666666666691,12.879931931607164,1.6049371428571428,0.2511077398355698,0.0036590339947667515
KISS,127.56116,0.0025052941176471055,22.13950151347215,0.6876114285714287,0.2482024524974212,-0.024428654000862363
Hadamard1Bit,127.29297,0.0053545098039215755,-3.0507061056630937,0.7444342857142857,0.24908717291709534,-0.0012271260250614148
Hadamard8Bit,127.48144,0.00489490196078432,0.6484461075118075,0.6479542857142857,0.24951928811867793,-0.004873151150768875
RY1Bit,127.58939,0.004207254901960833,-1.8604427465705167,0.8312228571428572,0.25030297377175736,-0.0005937552781077589
RY8Bit,127.43213,0.00461156862745099,-2.1842308632277816,0.20761142857142859,0.2503711876026882,0.007553506217327318
Uniform1Bit,127.33112,0.005654313725490197,2.7093121477996607,1.0122514285714286,0.2489070650029803,-0.005104024009821238
Uniform8Bit,127.60334,0.006078823529411803,-2.8355177888153134,1.0352685714285714,0.25002641583509333,-0.004542346859577317
LCG,127.47912,0.004804313725490228,14.564437797212555,1.9360000000000002,0.25005787112849887,0.0016587189201223238
KISS,127.49823,0.0023090196078431324,23.350599131364852,0.7717942857142858,0.24793324365385208,-0.024700401818701194
Hadamard1Bit,127.46054,0.0049280392156862765,1.999910879698342,0.7223542857142857,0.2499990339388186,0.0017975172692051532
Hadamard8Bit,127.50024,0.004103725490196077,-1.754739777701654,0.6079771428571429,0.2500700045831677,0.0008393006162577407
RY1Bit,127.51404,0.0036984313725490197,-0.9364874763617048,1.3528457142857144,0.25017526315209565,0.0014352800673746971
RY8Bit,127.31728,0.004861764705882357,0.31827527656849697,0.5269257142857143,0.2493148583927188,0.00039035917588064773
Uniform1Bit,127.21646,0.0050521568627451,0.9680974386041559,0.5421257142857143,0.24915111727049505,0.0031447762411748455
Uniform8Bit,127.40106,0.004913921568627452,-2.840001924218877,0.5103771428571429,0.24967549990763271,0.0007619192149171842
LCG,127.81177,0.005188627450980476,13.462391499693709,1.8768457142857145,0.25103553565331593,-0.0022413796278063954
KISS,127.49454,0.002269215686274473,20.984047581282038,0.7467885714285715,0.24788776023092884,-0.025119264551778393
Hadamard1Bit,127.53979,0.005620000000000069,-2.257486241093854,0.8885714285714286,0.2501005549847845,-0.0006718561023925732
Hadamard8Bit,127.03507,0.006444117647058878,-2.2730504694050677,1.6466285714285716,0.2482660071506487,0.0010173670707211094
RY1Bit,127.29738,0.005125490196078442,-0.6398738156951551,0.17984,0.24920543968992084,2.9286902786881314e-06
RY8Bit,127.53105,0.00420843137254902,-2.810710067684607,0.7844114285714286,0.2497739916268814,-0.0041236915493783055
Uniform1Bit,127.21184,0.004993529411764702,2.316175461856316,0.8021028571428572,0.24915934757194427,0.0034246679557695292
Uniform8Bit,128.00966,0.006510000000000016,2.4451073378438393,0.93008,0.2520093050219181,6.441426089295608e-05
LCG,127.29087,0.005134313725490225,12.811911972182658,1.1557028571428571,0.24932831181445178,0.0017637228441547336
KISS,127.46222,0.002408039215686275,24.03562925898281,0.6160914285714286,0.24778404170047127,-0.024818493374119985
Hadamard1Bit,127.44156,0.004107450980392113,-2.574982710395923,0.7889828571428572,0.2500362813701159,0.0032142556644838374
Hadamard8Bit,127.31149,0.006133137254901944,-0.5609494350450241,1.1753142857142858,0.24911866973340918,-0.0016923857489532623
